protocol,input_mode,num_scenes,psnr,ssim,lpips
dl3dv_32,unposed_uncalibrated,140,22.097,0.716,0.194
dl3dv_64,unposed_uncalibrated,140,21.774,0.696,0.213
dl3dv_128,unposed_uncalibrated,140,21.284,0.672,0.235
dl3dv_256,unposed_uncalibrated,140,20.220,0.617,0.281
dl3dv_32,unposed_calibrated,140,22.417,0.734,0.188
dl3dv_64,unposed_calibrated,140,22.068,0.713,0.206
dl3dv_128,unposed_calibrated,140,21.576,0.690,0.227
dl3dv_256,unposed_calibrated,140,20.430,0.633,0.275
dl3dv_32,posed_calibrated,140,23.084,0.780,0.164
dl3dv_64,posed_calibrated,140,23.086,0.782,0.167
dl3dv_128,posed_calibrated,140,22.852,0.777,0.176
dl3dv_256,posed_calibrated,140,22.003,0.751,0.202
scannet_32,unposed_calibrated,8,25.830,0.830,0.205
scannet_32,posed_calibrated,8,24.073,0.789,0.223
re10k_64,unposed_calibrated,1648,25.705,0.873,0.128
re10k_128,unposed_calibrated,1648,24.713,0.844,0.155
re10k_64,posed_calibrated,1648,25.830,0.884,0.120
re10k_128,posed_calibrated,1648,24.957,0.864,0.143
scannetpp_256,unposed_calibrated,46,19.660,0.663,0.342
scannetpp_512,unposed_calibrated,30,18.289,0.611,0.411
scannetpp_256,posed_calibrated,46,20.797,0.746,0.263
scannetpp_512,posed_calibrated,30,20.308,0.734,0.287
